Field,Id,Date,FluidKind,LastFluidMolecularWeight,LastFluidSpecificGravity,zN2,zCO2,zC1,zC2,zC3,zIC4,zNC4,zIC5,zNC5,zC6,zC7,zC8,zC9,zC10,zC11,zC12,zC13,zC14,zC15,zC16,zC17,zC18,zC19,zC20,LastFluidComponent
Albacora,235655066780487493060135334531738441741,28/11/2013,OLEO,513.0,0.9375,0.28,2.18,50.34,8.8,5.71,0.96,2.47,0.75,1.25,1.56,2.03,2.46,2.14,1.81,1.56,1.39,1.42,1.19,1.12,0.84,0.75,0.74,0.71,7.54,C20
Albacora,2850024621782551530469011068396203900,11/12/2014,OLEO,447.0,0.9332,0.36,3.23,45.32,7.16,6.03,1.0,2.73,0.92,1.55,1.98,2.6,2.86,2.16,1.74,1.49,1.35,1.4,1.13,1.07,0.83,0.68,0.74,0.67,10.99,C20
Albacora,66820533634321543631617927163864636933,11/12/2014,OLEO,447.0,0.9332,0.36,3.23,45.32,7.16,6.03,1.0,2.73,0.92,1.55,1.98,2.6,2.86,2.16,1.74,1.49,1.35,1.4,1.13,1.07,0.83,0.68,0.74,0.67,10.99,C20
Albacora,321567418088616429351396831258924766066,01/08/2007,OLEO,428.0,0.9508,0.01,0.17,42.67,5.08,3.49,0.76,1.64,0.4,0.84,1.08,2.97,2.24,1.84,1.77,1.5,1.44,1.48,1.3,1.3,1.0,0.86,0.84,0.75,24.57,C20
Albacora,268284190083255608950353418903086157303,01/08/2007,OLEO,524.0,0.9718,0.35,0.37,27.27,4.71,5.59,0.93,2.18,0.4,1.77,2.55,7.44,5.18,4.1,3.32,2.52,2.23,2.36,1.88,1.87,1.22,0.93,0.87,0.71,19.24,C20
Albacora,64412345022280922841613708342797521154,15/08/2008,OLEO,550.0,0.9694,0.07,0.14,42.47,3.92,4.07,0.84,2.0,0.72,2.22,1.68,2.39,3.14,2.6,2.44,2.12,2.01,2.1,1.68,1.41,1.13,0.86,1.06,0.99,17.95,C20
Albacora,73624765353725147618991340224372379350,15/08/2008,OLEO,573.0,0.9709,0.17,0.19,42.86,2.2,1.39,0.53,0.92,0.47,1.43,1.78,2.19,3.06,2.51,2.6,2.26,2.31,2.5,2.08,1.9,1.54,1.19,1.45,1.37,21.1,C20
Albacora,224119773189333224783483399842332602236,05/08/2008,OLEO,578.0,0.9735,0.11,0.11,42.76,2.79,4.08,0.84,1.95,0.68,2.08,2.14,2.47,3.19,2.7,2.54,2.23,2.15,2.26,1.8,1.57,1.31,1.06,1.25,1.16,16.77,C20
Albacora,199917565909012570995459260324543241078,12/09/2005,OLEO,459.0,0.9504,0.26,0.07,44.08,5.14,3.62,0.69,1.59,0.61,0.87,1.5,1.4,2.18,1.8,1.57,1.59,1.55,1.58,2.56,1.82,1.18,1.02,0.92,0.77,21.62,C20
Albacora,144249670795952143688318598795672522985,12/09/2005,OLEO,458.0,0.9523,1.03,0.06,27.87,3.09,2.58,0.74,1.07,0.54,1.03,0.93,1.26,1.91,1.78,1.74,2.74,2.32,2.63,11.24,5.12,2.82,1.14,1.07,0.87,24.42,C20
